X,org,req,grant,schoolyr,deny,prop_grant,bipoc,community
178,Duke Association for the Middle East,6180,3350,2020-2021,2830,0.542071197411003,Y,Middle-Eastern
179,Duke Association of Debate Coaches,2500,2500,2020-2021,0,1,N,Non-BIPOC
180,Duke Best Buddies ,1250,950,2020-2021,300,0.76,N,Non-BIPOC
181,Duke Chapter of the American Mock World Health Organization,4985,2430,2020-2021,2555,0.487462387161484,N,Non-BIPOC
182,Duke Chinese Theater,3300,1000,2020-2021,2300,0.303030303030303,Y,Asian
183,Duke Club Fishing ,1383.31,553.33,2020-2021,829.98,0.400004337422559,N,Non-BIPOC
184,Duke CommuniTEA,2240,1370,2020-2021,870,0.611607142857143,Y,Asian
185,Duke Consulting Club,8250,0,2020-2021,8250,0,N,Non-BIPOC
186,Duke Crux,7840,2900,2020-2021,4940,0.369897959183673,N,Non-BIPOC
187,Duke Cubing Club,1000,650,2020-2021,350,0.65,N,Non-BIPOC
188,Duke Dance Expressions,1720,1370,2020-2021,350,0.796511627906977,N,Non-BIPOC
189,Duke Democrats,1200,0,2020-2021,1200,0,N,Non-BIPOC
190,Duke Dhamaka,35059,8575,2020-2021,26484,0.244587695028381,Y,Asian
191,Duke Disability Alliance,7650,3000,2020-2021,4650,0.392156862745098,N,Non-BIPOC
192,Duke Diya,900,500,2020-2021,400,0.555555555555556,Y,Asian
193,Duke Energy Club,9180,1500,2020-2021,7680,0.163398692810458,N,Non-BIPOC
194,Duke Ethiopian/Eritrean Student Transnational Association,345,195,2020-2021,150,0.565217391304348,Y,Black
195,Duke Fashion Exchange,280,230,2020-2021,50,0.821428571428571,N,Non-BIPOC
196,Duke German Club,900,450,2020-2021,450,0.5,N,Non-BIPOC
197,Duke Global Public Health Brigades,17850,6500,2020-2021,11350,0.36414565826330503,N,Non-BIPOC
198,Duke History Union,2550,1800,2020-2021,750,0.705882352941177,N,Non-BIPOC
199,Duke International Relations Association (DIRA),8975,6395,2020-2021,2580,0.712534818941504,N,Non-BIPOC
200,Duke InterVarsity Christian Fellowship,15425,4620,2020-2021,10805,0.299513776337115,N,Non-BIPOC
201,Duke Investment Club,6462.88,3083,2020-2021,3379.88,0.477031911469809,N,Non-BIPOC
202,Duke Lasya,18300,0,2020-2021,18300,0,Y,Asian
203,Duke Low-Income First-Generation Engagement (DukeLIFE),1000,490,2020-2021,510,0.49,N,Non-BIPOC
204,Duke Mock Trial,28273,15050,2020-2021,13223,0.532309977717257,N,Non-BIPOC
205,Duke Nepali Student Association,1000,450,2020-2021,550,0.45,Y,Asian
206,Duke Partnership for Service,14560,2880,2020-2021,11680,0.197802197802198,N,Non-BIPOC
207,Duke PAWS,3850,2500,2020-2021,1350,0.649350649350649,N,Non-BIPOC
208,Duke Quiz Bowl,6975,3430,2020-2021,3545,0.491756272401434,N,Non-BIPOC
209,Duke Rhydhun,20105,12020,2020-2021,8085,0.597861228550112,Y,Asian
210,Duke Robotics Club,44784,10234,2020-2021,34550,0.228519113969275,N,Non-BIPOC
211,Duke Sikh Society,1000,150,2020-2021,850,0.15,Y,Asian
212,Duke Sleight Club,684.16,665.26,2020-2021,18.9,0.972374883068288,N,Non-BIPOC
213,Duke Speech Team,24900,6840,2020-2021,18060,0.274698795180723,N,Non-BIPOC
214,Duke Sports Management Club,5075,5075,2020-2021,0,1,N,Non-BIPOC
215,Duke Student Global Health Review,215,215,2020-2021,0,1,N,Non-BIPOC
216,Duke Student Government Campaign Fund ,2000,1825,2020-2021,175,0.9125,N,Non-BIPOC
217,Duke Student Government Executive Discretionary.    ,1000,800,2020-2021,200,0.8,N,Non-BIPOC
218,Duke Student Government Judiciary ,2000,1300,2020-2021,700,0.65,N,Non-BIPOC
219,Duke Student Government Legislative Discretionary,1000,800,2020-2021,200,0.8,N,Non-BIPOC
220,Duke Student Government Line Monitors,2400,1100,2020-2021,1300,0.458333333333333,N,Non-BIPOC
221,Duke Student Government Newspaper Fund ,15000,7500,2020-2021,7500,0.5,N,Non-BIPOC
222,Duke Student Government Presidential Discretionary,1500,1000,2020-2021,500,0.666666666666667,N,Non-BIPOC
223,Duke Student Government Presidential Stipend,2200,2200,2020-2021,0,1,N,Non-BIPOC
224,Duke Student Government SOFC ,600,500,2020-2021,100,0.833333333333333,N,Non-BIPOC
225,Duke Student Government Student Health Advisory Committee ,2000,1600,2020-2021,400,0.8,N,Non-BIPOC
226,Duke Students for Justice in Palestine,2600,1200,2020-2021,1400,0.461538461538462,Y,Middle-Eastern
227,Duke Swing Dance Club,1850,1200,2020-2021,650,0.648648648648649,N,Non-BIPOC
228,Duke Symphony Orchestra,4825,2800,2020-2021,2025,0.580310880829015,N,Non-BIPOC
229,Duke University Cricket Club,1655,1155,2020-2021,500,0.697885196374622,N,Non-BIPOC
230,Duke University EMS,12310.01,6393,2020-2021,5917.01,0.519333453019128,N,Non-BIPOC
231,Duke's Devilish Keys,1498,1348,2020-2021,150,0.899866488651535,N,Non-BIPOC
232,Eastern European Association at Duke,350,100,2020-2021,250,0.285714285714286,N,Non-BIPOC
233,Engineering World Health,5050,2500,2020-2021,2550,0.495049504950495,N,Non-BIPOC
234,Ensemble Hippocrates,1125,400,2020-2021,725,0.355555555555556,N,Non-BIPOC
235,Environmental Alliance,1700,450,2020-2021,1250,0.264705882352941,N,Non-BIPOC
236,Every Nation Campus - Duke,6600,2500,2020-2021,4100,0.378787878787879,N,Non-BIPOC
237,FIRST at Duke,3090,2940,2020-2021,150,0.951456310679612,N,Non-BIPOC
238,Flower Power,1000,700,2020-2021,300,0.7,N,Non-BIPOC
239,FORM Magazine ,7906,6476,2020-2021,1430,0.819124715406021,N,Non-BIPOC
240,Freshly Squeezed Pulp,4000,1370,2020-2021,2630,0.3425,N,Non-BIPOC
241,Future is Now,718,118,2020-2021,600,0.164345403899721,N,Non-BIPOC
242,Gente Aprendiendo para Nuevas Oportunidades,560,560,2020-2021,0,1,Y,Latinx
243,GlobeMed at Duke,3155,0,2020-2021,3155,0,N,Non-BIPOC
244,Harmonies for Health at Duke,880,375,2020-2021,505,0.426136363636364,N,Non-BIPOC
245,Hindu Students Association,5557.98,3776.54,2020-2021,1781.44,0.67948067463359,Y,Asian
